j,psi,blm_firm_type
570,-0.619916649097828,7
571,0.0660636297462279,9
572,1.15334280683971,6
573,0.423082215702661,4
574,-0.368816053899854,7
575,0.312153927730013,4
576,0.591112718481473,4
577,-0.123684826732201,2
578,0.134087865282798,7
579,-0.56638511392616,8
580,0.52528387780677,1
581,0.610895695672783,1
582,-0.723893076768995,2
583,-0.621169367733041,3
584,-0.169629164043853,8
585,-0.488120108374887,7
586,-0.337201117386281,2
587,-0.661611696153036,7
588,-0.431681629769517,2
589,0.800745220692182,4
590,-1.01060426361039,0
591,-1.15571541356405,0
592,0.176525533375603,9
593,0.289247255943387,1
594,-0.63295347935276,5
595,0.640929438581091,1
596,-0.167591941421918,3
597,-0.922571105001992,0
598,-0.353221962711946,1
599,-0.784083566693226,5
600,-0.863467783679982,0
601,0.0853788627299419,2
602,0.382937310769482,1
603,-0.677703973408311,5
604,0.0111703222445664,3
605,-0.0632855588905029,1
606,0.721389858018244,1
607,-0.519633087240182,8
608,-0.553371244751677,8
609,-0.687288318009337,3
610,0.28386049629369,9
611,0.229531645119686,9
612,-0.32647289804037,2
613,-0.323669488884588,9
614,-0.568114709769784,8
615,0.135884367780204,2
616,0.780863637130371,4
617,-0.225124251872676,7
618,0.477481478929536,4
619,-0.195397187215709,2
620,0.246940093623581,1
621,0.840950375976172,4
622,-0.229515575375806,8
623,0.573281401738104,1
624,-0.64045792107439,7
625,0.315529528044633,9
626,-0.323197414091143,7
627,-0.100493241454807,2
628,-0.0110551412031325,8
629,0.128636730042289,9
630,0.453966899973489,4
631,-0.34110614022215,7
632,0.248523832183198,4
633,0.641551648903721,1
634,0.0370203949774753,8
635,-0.917997889201655,5
636,-0.830342796500983,3
637,-0.662077429986571,8
638,0.17073106596306,9
639,-1.02886795446059,0
640,0.409982367019457,4
641,0.135467391223474,9
642,0.599424119087497,6
643,0.297905177954822,9
644,-0.0357931630136002,8
645,-0.371267516653178,2
646,-0.0449203932727232,2
647,-1.08507827309885,0
648,0.703799345425452,6
649,0.250349456799637,9
650,0.712083316243439,6
651,0.903378746659493,6
652,-0.527120072433546,7
653,0.506500331709326,1
654,0.809215676478759,4
655,-0.13579997706957,8
656,-0.21522417492244,8
657,0.674418722430206,1
658,0.375589448310322,9
659,0.0372819354084911,8
660,-0.16284546608538,7
661,-0.234665747403946,8
662,-0.514191588250585,3
663,0.347631758653457,2
664,-0.0653599869465761,2
665,-0.49635056666674,3
666,0.503419834644318,4
